French,English
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
avoir,to have
faire,to do
dire,to say
aller,to go
voir,to see
savoir,to know
vouloir,to want
venir,to come
prendre,to take
être,to be
